,AAPL Equity,MSFT Equity,TLT Bond,SPY ETF,OIL Future,VIX Call
2025-05-29 23:31:55.519060,150.0,280.0,95.0,400.0,70.0,2.5
2025-05-30 23:31:55.519060,146.36974878522926,273.08239107983235,109.19483103193392,392.32780255058424,69.73343593386477,2.714330858931268
2025-06-02 23:31:55.519060,150.84592443119155,281.5049152792985,117.90937502648514,395.8960451950195,69.7631659268906,2.970248434415107
2025-06-03 23:31:55.519060,152.56415654680686,286.3487800526755,112.01916399445695,404.7454068738001,69.5147872843756,3.149814402652569
2025-06-04 23:31:55.519060,153.47272255254182,288.09009322492466,132.16146254762643,411.38678036546423,69.28527413527067,3.3714112969496295
2025-06-05 23:31:55.519060,153.61941507708474,289.29379454323316,135.22102395858013,409.58366893442985,69.02813027928005,3.407862751159309
2025-06-06 23:31:55.519060,154.87100509658848,289.77278645443914,134.2262526339385,410.6831191887957,69.37157671647932,3.464728676591073
2025-06-09 23:31:55.519060,154.4310653049977,291.56531481415027,135.14455738074622,409.85286201624496,69.67854631519548,3.5443908439230842
2025-06-10 23:31:55.519060,156.1867908395385,292.8562115579747,158.06249201686205,413.11979545080595,69.85005342420841,3.775647993757954
2025-06-11 23:31:55.519060,156.44095030698023,293.15304794459354,182.95327335998456,415.56355483544746,69.8726801431271,3.7718487697369625
2025-06-12 23:31:55.519060,159.5527969412165,297.86041327309727,183.96220277429418,420.6369412882837,70.45890666935341,3.886838580800467
2025-06-13 23:31:55.519060,156.21465098089692,296.19930452261724,184.36654501183162,413.4899029632516,70.70336328563373,3.9676922309218106
2025-06-16 23:31:55.519060,154.68772381252742,295.44424696407117,208.44305608501978,410.63312349933153,70.73590011085818,4.053858792255379
2025-06-17 23:31:55.519060,154.64348791049477,295.4362194715829,180.19201151036089,409.7977483057668,70.6871654157085,4.075237674607001
2025-06-18 23:31:55.519060,153.5612774549332,294.9522070408357,151.6164634908491,407.4937524719704,70.58127739046506,4.292483854864463
2025-06-19 23:31:55.519060,152.60289658288372,293.02441716853747,152.8595774078157,404.23968401808264,70.57103210098282,4.378522456018577
2025-06-20 23:31:55.519060,152.99593975878045,291.49924918194046,141.32506390127014,408.31812512595064,69.80797014091961,4.477578982458355
2025-06-23 23:31:55.519060,153.66149988036133,294.4893533125034,122.26155759846063,407.3069750770339,70.20971497182067,4.826722505225696
2025-06-24 23:31:55.519060,154.64387413753968,298.8402369045566,92.78690807243537,409.0761076609562,69.9219631400995,4.919099145932853
2025-06-25 23:31:55.519060,152.34832108312187,296.1629119082548,97.07231725482094,403.78130673495934,69.82345924527,5.074847351671866
2025-06-26 23:31:55.519060,151.37724812047716,294.99010505103456,107.42948078318463,401.6444975220799,69.30385216365643,5.1611175050146665
2025-06-27 23:31:55.519060,150.54879998094495,295.54286174513027,125.48707966394537,402.4221649771104,69.33814185055031,5.352035585979675
2025-06-30 23:31:55.519060,154.50448365597722,299.10983460279033,115.58313170520451,405.846722716271,69.35471287768586,5.383440792380765
2025-07-01 23:31:55.519060,155.02939027759808,298.1997766777392,146.58097362751337,402.7585402374688,69.3996701156759,5.5834742161231325
2025-07-02 23:31:55.519060,156.04454333845752,296.0886605456125,101.46712396904883,403.5587777356297,69.79938662324139,5.769811592822811
2025-07-03 23:31:55.519060,156.6999780719964,298.1679652595904,120.92649645010903,405.0562981471711,69.72166012871008,5.82583641284602
2025-07-04 23:31:55.519060,159.443331828389,301.5690760030244,109.44156683319399,410.93437973335097,69.92221586035048,5.924983703529215
2025-07-07 23:31:55.519060,160.59544640684902,305.14452810001643,123.23127519309438,410.0000290945375,70.31086426726532,6.097115530166106
2025-07-08 23:31:55.519060,160.00741335058623,302.7196022655364,114.23095875470726,409.8660499945503,70.6156818823118,6.213768059150064
2025-07-09 23:31:55.519060,155.28243044760944,293.52421992817165,136.73339698578962,397.9620663908365,70.68922822218921,6.467495251736387
2025-07-10 23:31:55.519060,152.64738215730213,289.80300820795077,135.28943362830546,393.42456482806887,70.69470439048104,6.461228089259128
2025-07-11 23:31:55.519060,155.37897308621606,295.8540210571574,129.1501831425013,401.8902444993528,70.3647348441431,6.939786358477118
2025-07-14 23:31:55.519060,155.72839352723,295.66790994810776,94.24718260784489,403.87056270921687,70.51060270231314,6.996592193647203
2025-07-15 23:31:55.519060,155.50428483060844,292.8168391530443,107.97308068320451,401.85145091373016,70.68918828805332,7.233438525178705
2025-07-16 23:31:55.519060,153.32390922806184,288.84346457696,139.06340108344065,394.9211769494955,71.17988575445037,7.2479151429629605
2025-07-17 23:31:55.519060,152.98828503980286,287.3418185999012,133.59543835803186,393.63623687279136,71.48362850931215,7.3423525841648
2025-07-18 23:31:55.519060,151.4285992735908,284.1559599430267,163.41311272414384,396.4492990194599,71.38705218208342,7.39675636021445
2025-07-21 23:31:55.519060,151.0491220784954,281.2647906179794,181.95626762950243,392.90049384648114,71.59430957463942,7.737534952396522
2025-07-22 23:31:55.519060,147.62169441625508,275.3393423871255,173.46903488015346,382.964275270773,71.65812066277432,7.860377328598055
2025-07-23 23:31:55.519060,144.04836526497567,270.17084109885116,207.62575823153537,379.95614714072855,71.91114198013882,7.94049350341181
2025-07-24 23:31:55.519060,143.29575502100275,269.1938910129933,198.55301306017347,380.3383934259659,71.44752824795526,7.995649674974983
2025-07-25 23:31:55.519060,144.10896491637075,272.52922824797207,161.16114963470403,383.84984875338256,71.90939772149818,8.08830258297099
2025-07-28 23:31:55.519060,142.13741004489663,270.21290613759516,187.07078721979394,379.52599908142963,72.52820109457528,8.284374395465289
2025-07-29 23:31:55.519060,138.09964903228155,263.82097171042557,231.48555919336576,370.8889462714095,73.14193476447251,8.408796713326938
2025-07-30 23:31:55.519060,140.72894957770632,267.83817570529345,218.59577459583238,376.13375652933814,72.88549314345407,8.56323357815826
